普通话文本,藤县话文本,IPA,起始时间(音频时间戳)
实际上那些（半）筒靴呢，他（自己）没有多少双。,实际呢，佢呢，个亚啲半桶靴呢，又冇有几多嚿，啊。,[ʃɐt².tei⁴²³.ni³³..ky²⁴.ni³³..kɔ³³.a³³.ɗi⁵².ɓun³³.tʰoŋ⁴⁴.høi⁵².ni³³..iɐu²¹.mɑo²⁴.iɐu²⁴.ki⁴⁴.ɗɔ⁵².kɐu²¹..a²¹.],[05:38.067]
后来我这个愿望都没能够实现。,后尾我只愿望都冇能够实现，啊。,[hɐu²¹.mi⁴⁴.ŋɔ²⁴.tʃek⁵.ɲiun²¹.mɔŋ²¹.ɗu³³.mɑo²⁴.nɐŋ²¹.kɐu³³.ʃɐt².in²¹..a²¹.],[05:43.449]
想找个（半）筒靴子都找不到。,想□嚿半桶靴都□冇到，啊。,[θiæŋ⁴⁴.uɐn⁴⁴.kɐu²¹.ɓun³³.tʰoŋ⁴⁴.høi⁵².ɗu³³.uɐn⁴⁴.mɑo²⁴.tou³³..a²¹.],[05:46.832]
那个时候就是这样的一个情况。,亚只时候就是噉呅个情况。,[a³³.tʃek⁵.ʃi²¹.hɐu²⁴.tɐu²¹.ʃi²⁴.kom³³.mɐn⁵².kɔ³³.θeŋ²¹.kʰɔŋ³³.],[05:49.746]
那么我大姐呢在村里也是，干活很勤快的，在村里头。,噉呅我大姐呢在村里头，诶，做工是，又是好勤力，啊，在村内头。,[kom³³.mɐn⁵².ŋɔ²⁴.tæ²¹.tɛ³³.ni³³.θœ²⁴.tʰun⁵².ly²⁴.tɐu²³¹..a²¹..tu²¹.koŋ⁵².ʃi²⁴..iɐu²¹.ʃi²⁴.hou⁴⁴.kɐn²¹.lek²..a²¹..θœ²⁴.tʰun⁵².nøi²¹.tɐu²³¹.],[05:51.495]
因为她（也）是没有文化。,因为佢亦是冇有文化。,[ɐn⁵².uei²¹.ky²⁴.hek².ʃi²⁴.mɑo²⁴.iɐu²⁴.mɐn²¹.fa⁴²³.],[05:59.662]
但是她收着了很多东西。,但系佢收到好多嘢。,[tan²¹.hei²¹.ky²⁴.ʃɐu⁵².tou³³.hou⁴⁴.ɗɔ⁵².ɲɛ²⁴.],[06:01.525]
啊，我上次我做那个《中国语言文化典藏・藤县点》的时候，我都专程去她家里去找。,啊，我上次我做个只中国语言文化典藏，藤县点个只时候，我都专门到佢屋里头去□。,[a²¹..ŋɔ²⁴.ʃiæŋ²¹.tʰi³³.ŋɔ²⁴.tu²¹.kɔ³³.tʃek⁵.tʃoŋ⁵².kɔk³.ɲy²⁴.ɲin²³¹.mɐn²¹.fa⁴²³.ɗin⁴⁴.θɔŋ²³¹..tɐŋ²¹.ɲiun²¹.ɗim⁴⁴.kɔ³³.tʃek⁵.ʃi²¹.hɐu²⁴..ŋɔ²⁴.ɗu³³.tʃiun⁵².mun²³¹.tou³³.ky²⁴.ok⁵.ly²⁴.tɐu²³¹.hy³³.lɐn⁴⁴.],[06:03.925]
翻箱倒柜地去找有什么东西能够代表其他那些（内容）的。,翻箱倒柜去□到有乜嘢旧物品能够代表其他亚个嘅。,[fan³³.θiæŋ⁵².tou⁴⁴.kei²¹.hy³³.lɐn⁴⁴.tou³³.iɐu²⁴.mɐt⁵.ɲɛ²⁴.tʃɐu²¹.mɐt².pʰɐn⁴⁴.nɐŋ²¹.kɐu³³.tœ²¹.ɓiu⁴⁴.ki²¹.tʰa⁵².a³³.kɔ³³.kɛ³³.],[06:11.147]
我就发现呢，她的笼箱里头收着了几样东西。,我就发现呢，佢个笼箱里头收咯几样嘢。,[ŋɔ²⁴.tɐu²¹.fat³.in²¹.ni³³..ky²⁴.kɔ³³.loŋ²¹.θiæŋ⁵².ly²⁴.tɐu²³¹.ʃɐu⁵².lɔk³.ki⁴⁴.iæŋ²¹.ɲɛ²⁴.],[06:16.142]
一样是，我母亲那个时候做的很多蚊帐。,一样是，我，老母，亚只时候，诶，整到好多蚊帐。,[iɐt⁵.iæŋ²¹.ʃi²⁴..ŋɔ²⁴..lou²⁴.mu²⁴..a³³.tʃek⁵.ʃi²¹.hɐu²⁴..a²¹..tʃeŋ⁴⁴.tou³³.hou⁴⁴.ɗɔ⁵².mɐn²¹.tʃiæŋ³³.],[06:20.735]
